latitude,longitude,elevation,resolution
35.638705,-82.558394,651.3246459960938,4.771975994110107
35.638659,-82.558388,651.0157470703125,4.771975994110107
35.638608,-82.55838,650.7860717773438,4.771975994110107
35.638558,-82.558379,650.62060546875,4.771975994110107
35.638506,-82.558388,650.4309692382812,4.771975994110107
35.638454,-82.558392,650.2416381835938,4.771975994110107
35.638401,-82.558395,650.0740356445312,4.771975994110107
35.638348,-82.558379,649.95068359375,4.771975994110107
35.638296,-82.558348,649.8263549804688,4.771975994110107
35.638255,-82.55832,649.42236328125,4.771975994110107
35.638208,-82.558307,649.1596069335938,4.771975994110107
35.638158,-82.558289,648.9237670898438,4.771975994110107
35.638102,-82.558267,649.0421142578125,4.771975994110107
35.638048,-82.558281,649.0076904296875,4.771975994110107
35.63801,-82.558323,648.9351196289062,4.771975994110107
