Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2022-06-03 21:05:31.99,2022-06-03 17:05:31.99,592.4987086057663,35.638401,-82.558395,5,650.4644432067871,3,623.6183267447706,1.080000042915344,1.376666665077209,182.109375,268.380859375,275.2132263183594,14.74111747741699,-25.47127238241818,0
2022-06-03 21:05:35.99,2022-06-03 17:05:35.99,596.4985672235489,35.638348,-82.558379,5,650.0891990661621,3,629.6659933941825,1.419999957084656,1.306666652361552,161.015625,268.380859375,275.2132263183594,14.74111747741699,-33.93337871890301,0
2022-06-03 21:05:39.99,2022-06-03 17:05:39.99,600.4984258413315,35.638296,-82.558348,5,649.8789939880371,3,636.045829908714,1.490000009536743,1.40666663646698,130.4296875,268.380859375,275.2132263183594,14.74111747741699,-25.80108061303569,0
2022-06-03 21:05:42.99,2022-06-03 17:05:42.99,603.4983204603195,35.638255,-82.558320,5,649.4092674255371,3,641.3272729699191,1.559999942779541,1.529999971389771,155.7421875,268.380859375,275.2132263183594,14.74111747741699,-21.78194861768271,0
2022-06-03 21:05:45.99,2022-06-03 17:05:45.99,606.4982146024704,35.638208,-82.558307,5,649.4209861755371,3,646.651302134681,1.600000023841858,1.529999971389771,170.15625,268.380859375,275.2132263183594,14.74111747741699,-24.69914043329743,0
2022-06-03 21:05:49.99,2022-06-03 17:05:49.99,610.4980713129044,35.638158,-82.558289,5,648.9715232849121,3,652.5046640508257,1.190000057220459,1.580000003178914,170.15625,268.380859375,275.2132263183594,14.74111747741699,-24.13491384841244,0
2022-06-03 21:05:53.99,2022-06-03 17:05:53.99,614.4979304075241,35.638102,-82.558267,5,648.5906639099121,3,658.9730843535834,1.480000019073486,1.360000014305115,165.234375,268.380859375,275.2132263183594,14.74111747741699,-20.95882004901792,0
2022-06-03 21:05:57.99,2022-06-03 17:05:57.99,618.4977889060974,35.638048,-82.558281,5,648.5972557067871,3,665.176326805625,1.659999966621399,1.476666688919067,197.2265625,268.380859375,275.2132263183594,14.74111747741699,-22.74555308887527,0
2022-06-03 21:06:01.99,2022-06-03 17:06:01.99,622.4976474046707,35.638010,-82.558323,5,648.4307518005371,3,670.8891125589008,1.220000028610229,1.476666688919067,224.6484375,268.380859375,275.2132263183594,14.74111747741699,-23.60157716754491,0
2022-06-03 21:06:05.99,2022-06-03 17:06:05.99,626.4975064992905,35.637973,-82.558359,5,648.5462303161621,3,676.0677923087175,1.450000047683716,1.426666657129924,211.9921875,268.380859375,275.2132263183594,14.74111747741699,-27.2954483960543,0
