Latitude,Longitude,Altitude(m)
35.640281,-82.558352,657.9458885192871
35.640233,-82.558349,657.8401756286621
35.640178,-82.558349,657.4095115661621
35.640125,-82.558345,657.2471580505371
35.640075,-82.558346,656.5252342224121
35.640023,-82.558349,657.0115623474121
35.639974,-82.558355,656.8498191833496
35.639927,-82.558352,656.0913963317871
35.639881,-82.558355,656.1722068786621
35.639831,-82.558358,655.9374656677246
35.639781,-82.558359,656.1468162536621
35.639727,-82.558361,656.2627830505371
35.639679,-82.558357,655.6621971130371
35.639628,-82.558359,655.6310691833496
35.639576,-82.558362,655.9129295349121
35.639529,-82.558378,655.4488182067871
35.639487,-82.558413,654.8990135192871
35.639433,-82.558416,654.6206932067871
35.639387,-82.558407,654.5645408630371
35.639333,-82.558391,654.3214988708496
35.639283,-82.558378,653.2900047302246
35.639227,-82.558371,652.9551658630371
35.639179,-82.558369,652.9283103942871
35.639132,-82.558367,652.4275779724121
35.639073,-82.558375,652.6155662536621
35.639024,-82.558379,652.6447410583496
35.638972,-82.558381,652.4508934020996
35.638916,-82.558386,652.1106834411621
35.638862,-82.558395,651.8230857849121
35.638810,-82.558399,652.1892967224121
35.638756,-82.558400,651.7223777770996
35.638705,-82.558394,651.4261131286621
35.638659,-82.558388,651.6834373474121
35.638608,-82.558380,651.2672996520996
35.638558,-82.558379,651.1910057067871
35.638506,-82.558388,650.9469871520996
35.638454,-82.558392,650.6919822692871
35.638401,-82.558395,650.4644432067871
35.638348,-82.558379,650.0891990661621
35.638296,-82.558348,649.8789939880371
35.638255,-82.558320,649.4092674255371
35.638208,-82.558307,649.4209861755371
35.638158,-82.558289,648.9715232849121
35.638102,-82.558267,648.5906639099121
35.638048,-82.558281,648.5972557067871
35.638010,-82.558323,648.4307518005371
35.637973,-82.558359,648.5462303161621
35.637927,-82.558371,648.3724021911621
35.637871,-82.558361,648.8670310974121
35.637821,-82.558345,648.9789695739746
35.637768,-82.558337,648.9285545349121
35.637722,-82.558332,648.9764060974121
35.637665,-82.558327,649.0158348083496
35.637612,-82.558320,648.8438377380371
35.637563,-82.558314,648.7576560974121
35.637513,-82.558315,648.3108787536621
35.637465,-82.558306,648.2102928161621
35.637411,-82.558294,648.1819725036621
35.637357,-82.558283,648.2500877380371
35.637311,-82.558273,648.1090965270996
35.637260,-82.558270,648.2414207458496
35.637204,-82.558272,648.4360008239746
35.637147,-82.558268,648.3628807067871
35.637100,-82.558260,647.9831199645996
35.637059,-82.558232,648.0645408630371
35.637047,-82.558170,647.1697654724121
35.637002,-82.558134,647.5590476989746
35.636957,-82.558111,647.7807273864746
35.636916,-82.558082,648.0933494567871
35.636871,-82.558052,649.0988426208496
35.636830,-82.558024,649.9560203552246
35.636783,-82.558018,649.1424217224121
35.636731,-82.558002,648.0948143005371
35.636676,-82.557985,647.4483299255371
